gap_weight,surplus_weight,cost_weight,agent,n_seeds,unique_outcomes,utility_total_mean,utility_total_sd,remaining_gap_total_mean,remaining_gap_total_sd,surplus_total_mean,surplus_total_sd,movement_cost_total_mean,movement_cost_total_sd,movement_count_mean,movement_count_sd,satisfied_hours_mean,satisfied_hours_sd,sla_violation_hours_mean,sla_violation_hours_sd
0.35,0.6,0.05,exhaustive-search,10,10,-41.590000534057616,2.6724526600787426,-5800.8,152.51870559231597,1871.7,51.55374757366228,88.4,0.699205898780101,88.4,0.699205898780101,32.4,3.025814858109391,135.6,3.025814858109391
0.35,0.6,0.05,greedy-optimal,10,1,-48.49333190917969,0.0,-2713.0,0.0,3762.0,0.0,222.0,0.0,222.0,0.0,87.0,0.0,81.0,0.0
0.35,0.6,0.05,random,10,10,-210.18299713134766,18.21649940164612,-2149.8,327.6786366074067,8080.1,417.5860390386633,308.2,6.160808027812225,308.2,6.160808027812225,45.2,13.563021623353535,122.8,13.563021623353535
0.35,0.6,0.05,sampling-optimal,10,10,-68.0613338470459,6.845591380308067,-3156.4,348.62402543587143,3982.3,297.4387145092059,239.2,3.6453928305312844,239.2,3.6453928305312844,59.2,8.011103405759894,108.8,8.011103405759894
0.35,0.6,0.05,wait,10,1,-148.30999755859375,0.0,-1095.0,0.0,7341.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,64.0,0.0
0.6,0.3,0.1,exhaustive-search,10,1,-21.18000030517578,0.0,-1095.0,0.0,7341.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,64.0,0.0
0.6,0.3,0.1,greedy-optimal,10,1,-25.44000244140625,0.0,-2713.0,0.0,3762.0,0.0,222.0,0.0,222.0,0.0,87.0,0.0,81.0,0.0
0.6,0.3,0.1,random,10,10,-93.55999984741212,15.323531298728135,-2149.8,327.6786366074067,8080.1,417.5860390386633,308.2,6.160808027812225,308.2,6.160808027812225,45.2,13.563021623353535,122.8,13.563021623353535
0.6,0.3,0.1,sampling-optimal,10,10,-29.62500114440918,4.02843371363975,-1053.1,203.52201628106752,7396.1,563.3758267996793,180.3,7.040359839288519,180.3,7.040359839288519,92.2,8.283853102404835,75.8,8.283853102404835
0.6,0.3,0.1,wait,10,1,-21.18000030517578,0.0,-1095.0,0.0,7341.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,64.0,0.0
0.75,0.2,0.05,exhaustive-search,10,10,18.92100009918213,0.5084758879763133,-293.4,9.008637830191397,10072.8,33.53538761103295,42.6,0.8432740427115678,42.6,0.8432740427115678,133.3,1.4181364924121764,34.7,1.4181364924121764
0.75,0.2,0.05,greedy-optimal,10,1,-22.41333770751953,0.0,-2713.0,0.0,3762.0,0.0,222.0,0.0,222.0,0.0,87.0,0.0,81.0,0.0
0.75,0.2,0.05,random,10,10,-53.96700096130371,17.117366918358908,-2149.8,327.6786366074067,8080.1,417.5860390386633,308.2,6.160808027812225,308.2,6.160808027812225,45.2,13.563021623353535,122.8,13.563021623353535
0.75,0.2,0.05,sampling-optimal,10,10,18.374166774749757,4.536407017226436,-626.7,96.4515422375402,8556.7,504.80360317432144,206.3,9.718824803213378,206.3,9.718824803213378,104.8,5.028805910838963,63.2,5.028805910838963
0.75,0.2,0.05,wait,10,1,16.329999923706055,0.0,-1095.0,0.0,7341.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,64.0,0.0
0.9,0.1,0.0,exhaustive-search,10,10,-21.010665130615234,2.546915530885335,-2717.1,50.562282824694975,3968.7,94.94097581597151,237.0,3.2998316455372216,237.0,3.2998316455372216,80.6,3.9496835316262997,87.4,3.9496835316262997
0.9,0.1,0.0,greedy-optimal,10,1,-19.386672973632812,0.0,-2713.0,0.0,3762.0,0.0,222.0,0.0,222.0,0.0,87.0,0.0,81.0,0.0
0.9,0.1,0.0,random,10,10,-14.37400131225586,19.772189473768094,-2149.8,327.6786366074067,8080.1,417.5860390386633,308.2,6.160808027812225,308.2,6.160808027812225,45.2,13.563021623353535,122.8,13.563021623353535
0.9,0.1,0.0,sampling-optimal,10,10,5.739999580383301,6.188876282021428,-2147.6,119.08185793347738,5082.4,196.1406524807021,279.6,4.948624949305502,279.6,4.948624949305502,78.1,4.483302354291979,89.9,4.483302354291979
0.9,0.1,0.0,wait,10,1,53.84000015258789,0.0,-1095.0,0.0,7341.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,64.0,0.0
